monument,monumentLabel,monumentDescription,type,typeLabel,typeDescription,gps_coords,locationLabel,localidadeLabel,image
http://www.wikidata.org/entity/Q10353185,Prainha,"praia no Caniçal, Madeira, Portugal",,,,Point(-16.71555556 32.7425),Madeira,Caniçal,http://commons.wikimedia.org/wiki/Special:FilePath/Ponta%20de%20S%C3%A3o%20Louren%C3%A7o%2C%20Madeira%2C%20Portugal%2C%202019-05-28%2C%20DD%2010.jpg
http://www.wikidata.org/entity/Q4875262,Baía do Refugo,baía no município de Angra do Heroísmo,,,,Point(-27.118 38.645),,Açores,
http://www.wikidata.org/entity/Q5141494,Praia de Coim,,,,,Point(-8.77908 41.40257),,,
http://www.wikidata.org/entity/Q5394494,Praia Redonda,,,,,Point(-8.76913889 41.37933333),,Póvoa de Varzim,
http://www.wikidata.org/entity/Q5400886,Praia do Esteiro,,,,,Point(-8.77892 41.40135),,,http://commons.wikimedia.org/wiki/Special:FilePath/Sargaceiros%20Praia%20Esteiro%20Povoa%20Varzim.JPG
http://www.wikidata.org/entity/Q5405017,Praia do Rio Alto,,,,,Point(-8.77938 41.4451),,,http://commons.wikimedia.org/wiki/Special:FilePath/Estela%20beach%2C%20povoa%20de%20varzim.jpg
http://www.wikidata.org/entity/Q5477752,Praia da Fragosa,,,,,Point(-8.77961 41.39819),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Fragosa%20Aver-o-Mar%20P%C3%B3voa%20de%20Varzim.JPG
http://www.wikidata.org/entity/Q6472423,Praia da Lagoa,,,,,Point(-8.7744564 41.3922129),,,
http://www.wikidata.org/entity/Q7232151,Praia de Porto Dinheiro,"localidade e praia de Ribamar, Lourinhã",,,,Point(-9.3447 39.2136),,Ribamar,http://commons.wikimedia.org/wiki/Special:FilePath/20210804%20160800%20Praia%20de%20Porto%20Dinheiro.jpg
http://www.wikidata.org/entity/Q7237756,Praia Grande (Lagoa),,,,,Point(-8.519444444 37.116111111),,Lagoa,http://commons.wikimedia.org/wiki/Special:FilePath/Ferragudo1.jpg
http://www.wikidata.org/entity/Q7237757,Praia Nova,"praia no município de Lagoa, Portugal",,,,Point(-8.388333333 37.096111111),,,
http://www.wikidata.org/entity/Q7237760,Praia da Adraga,"praia no concelho de Sintra, Portugal",,,,Point(-9.485 38.803611111),,Sintra,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20adraga%201.jpg
http://www.wikidata.org/entity/Q7237760,Praia da Adraga,"praia no concelho de Sintra, Portugal",,,,Point(-9.485 38.803611111),,Lisboa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20adraga%201.jpg
http://www.wikidata.org/entity/Q7237760,Praia da Adraga,"praia no concelho de Sintra, Portugal",,,,Point(-9.485 38.803611111),,Sintra,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20adraga%20portugal.jpg
http://www.wikidata.org/entity/Q7237760,Praia da Adraga,"praia no concelho de Sintra, Portugal",,,,Point(-9.485 38.803611111),,Lisboa,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20adraga%20portugal.jpg
http://www.wikidata.org/entity/Q7237761,Praia da Amoreira,,,,,Point(-8.84444444 37.35138889),,,http://commons.wikimedia.org/wiki/Special:FilePath/Praia%20da%20Amoreira.JPG
http://www.wikidata.org/entity/Q7237762,Praia da Angrinha,,,,,Point(-8.516666666 37.116666666),,Faro,
http://www.wikidata.org/entity/Q7237762,Praia da Angrinha,,,,,Point(-8.52222222 37.12),,Faro,
